ID,location,total review,review
500,Syambhunath,1 review,Its one of the most important cultural heritage of nepal
501,Syambhunath, 51 reviews,Amazing place full of Buddhist culture. One of the cheapest and best days out in Kathmandu. And there's monkeys! Lots of monkeys!
502,Syambhunath, 246 reviews,"A nice site while visiting Katmandu! I wish it was more cleaned and less dirt and monkey poop all over the temple. The site is beautiful as well as the city views. Please take care of your temples, they won’t last forever if people’s mentality doesn’t change."
503,Syambhunath, 28 reviews,"It’s not far way from Thamel, there are so many monkeys around this area and you can see The Valley city!"
504,Syambhunath, 8 reviews,one of the world heritage site of Nepal which was nominated by UNESCO in the year of 1979.
505,Syambhunath, 22 reviews,Great place for a day off. Can get a beautiful view of the Kathmandu valley.
506,Syambhunath, 60 reviews,Good place to visit. Although the weather was gloomy & we hadn't able to enjoy great view of Kathmandu valley. Still the place is well maintained.
507,Syambhunath,11 reviews,I found this place to be better than Boudhnath. The surrounding campus is very big and beautiful. You also get a very good view of Kathmandu Valley from the top.
508,Syambhunath,2 reviews,"Believed to date back to 460 A.D., it was built by King Manadeva and by the 13th century, it had become an important center of Buddhism. Legend has it that Swayambhu was born out of a lotus flower that bloomed in the middle of a lake that once spread across the Kathmandu Valley once was."
509,Syambhunath,9 reviews,Great place to hangout.... You will feel relaxed and it will be a wonderful experience on the site....Many tourists visit there.. I will leave these photos captured by myself along with the review
510,Syambhunath, 8 reviews,You can see the how beautiful view of Kathmandu from there
511,Syambhunath,15 reviews,"Best place in KTM, can visit here everyday💞😍🙏"
512,Syambhunath, 25 reviews,"Peaceful and masterclass of architecture, you must go there, if you are in ktm valley.  Visit at night for a better view"
513,Syambhunath, 53 reviews,One of the religious place in Kathmandu which also calls as monkey temple. Lots of tourists comes here every year. Kathmandu city can be clearly view from here.
514,Syambhunath, 66 reviews,"The heritage that defines Nepalmandal, the civilization and culture that has stood the test of time. The glory of stupas, statues, marker stones, temples which are visible all across the stupa complex, even today, are still teaching us value of tolerance and compassion."
515,Syambhunath, 57 reviews,"Beautiful views when you get to the top. There are two stairway paths to get up to the temple, one is steeper and longer than the other. The steeper stair climber is lined with statues, vendors and monkeys and you'll also have to pay the …"
516,Syambhunath, 34 reviews,"Beautiful stupa and views of Kathmandu. Tickets are 200 for foreigners (50 for tourists from SAARC countries). As someone else mentioned in a comment on here, going in the evening is cooler and more pleasant than in the middle of the day, …"
517,Syambhunath, 43 reviews,"A very peaceful place to pass some time with your family or partner.
Shops have good stock but it was a bit too costly compared to the product quality. …"
518,Syambhunath,4 reviews,"It’s totally a self-existent one(Swayambhu)
We see here,
The huge gold plated Vajra ‘thunderbolt’ set in the east side of the stupa. …"
519,Syambhunath, 31 reviews,Circumambulating or doing Kora of the temple was the best experience!
520,Syambhunath, 52 reviews,It's butiful place for worship of Buddhist temple
521,Syambhunath, 175 reviews,"It is one of my favourite places to visit in Kathmandu. It is located at the top of a hill, and when you are there, you can see the whole Kathmandu valley. The temple itself is beautiful and majestic but the environment makes it more …"
522,Syambhunath, 20 reviews,Very nice divine place .... its location was very nice.... can see most of Kathmandu from here excellent view.
523,Syambhunath, 43 reviews,Beautiful place with touch of wildlife - the monkeys. Place gets crowded during holidays and rightly so as the place holds religious importance for hindus and buddhists alike.
524,Syambhunath, 197 reviews,Such a beautiful historical place along with a highest view of the city
525,Syambhunath, 45 reviews,"Swayambhu literally means ""self-existent one"". Believed to date back to 460 A.D., it was built by King Manadeva and by the 13th century, it is an important center of Buddhism."
526,Syambhunath,1 review,🙏
527,Syambhunath, 345 reviews,Enchanting place! Beautiful views looking over Kathmandu. The architecture has stood the test of time. Watch out for the monkeys! Nice handicrafts stalls also.
528,Syambhunath, 95 reviews,Beautiful site to visit both for local and international tourists but the authorities most concern about the cleaning ; maintainence and security around the place. …
529,Syambhunath, 54 reviews,"It is also called “Monkey Temple” because monkeys abound. Upon entering the structure, you will be greeted by monkeys and a small pond where you can make wish by tossing a coin at the center. There are separate restroom for men and women. …"
530,Syambhunath, 3 reviews,"Famous place for Buddhism,Located at top from where we can see whole kathmandu city. One
of the Best place to hangout in Kathmandu Valley."
531,Syambhunath, 258 reviews,"Spritual place , Amazing view of city from temple, surrounding the temple monkeys are Attraction of this place love to come back , coin dropping was amazing thing out of ten coin I placed 4 coin in pot"
532,Syambhunath, 28 reviews,"Evening is the best time to go for the night view of Kathmandu valley.
Don't go for tiktok's. Just go to feel the warmth of this place."
533,Syambhunath, 75 reviews,Great place but sadly I visited in the night and it was raining and lighting wasn't good. You will have to climb a lottt of stairs to reach the hill top where the main temple is. The magnificent Buddhist temple at the top and the …
534,Syambhunath, 64 reviews,"Beautiful and ancient religious architecture atop a hill, beautiful view of valley and fresh environment between valley, verities of shrines and temples, beautiful eyebrows painted on the temple, so many monkey around there temple, it's …"
535,Syambhunath, 78 reviews,"A unique thing. Situated on the top of hill , it is a landmark of Kathmandu."
536,Syambhunath, 91 reviews,Well worth a visit. I had heard the monkeys are a pain but as long as you didn't get too close they were fine.
537,Syambhunath, 124 reviews,"Religious and nice place to hang out.
Monkeys will disturb though.
Nice view from top.
View from Ajima pokhari."
538,Syambhunath, 91 reviews,"A majestic, mystifying, sacred, religious and spiritual place.

Originally linked with Buddhism, it is equally revered by Hindus. …"
539,Syambhunath, 248 reviews,"Also known as a monkey temple, this is one of the must visit place in kathmandu Valley. Symbol for the Buddhism and lord buddha."
540,Syambhunath, 34 reviews,Religious place with full of peaceful prayer and people ...winds at the top gives u the feeling that yes you made it. Soulful atmosphere and paintings and divine art gives the feeling of purity .
541,Syambhunath,20 reviews,"The world heritage sites...
The place where you get entire view of Kathmandu...❤️"
542,Syambhunath, 103 reviews,Buddhist place of worship with a spectacular view of Kathmandu from top of the hills.
543,Syambhunath,4 reviews,Love the view seen from Swoyambhu and the place is best to have some valuable time with peace
544,Syambhunath, 305 reviews,This place has kind of strange setting with many monkeys wondering around  and just trying to survive. The staircase towards the Stupa is a very steep ramp up and it will get your heart beating for sure. It is a holy place and you have to …
545,Syambhunath, 16 reviews,a little bit of a walk from durbar square (around 30 mins). get ready to go up more than 300 steps but totally worth it. prepare entrance fee.
546,Syambhunath, 13 reviews,"Peaceful environment, and good surroundings view of kathmandu Valley."
547,Syambhunath, 988 reviews,"Very nice temple !
Loads of stairs but the view is definitely worth it.
200 rp the entrance for foreigners."
548,Syambhunath, 9 reviews,Great place to explore the view of compact urban city Kathmandu with eyes
549,Syambhunath,14 reviews,It is the most prestigious temple of buddist people
550,Syambhunath, 89 reviews,"""Swoyambhu"" comprises of two words; ""Swayam"" which means self and ""Bhu"" which means light. Hence, this place is a visual representation of igniting the light within oneself by oneself. A center of faith for the indeginous inhabitants of the …"
551,Syambhunath, 27 reviews,Good place to visit if you have extra time in Kathmandu.
552,Syambhunath, 66 reviews,"A sacred budish temple at the top of Katmandhu, where you have a good city views, a relaxing place and monkeys run in all this temple. Good conservation after earthquake."
553,Syambhunath, 61 reviews,"A holy place for hindusim and Buddhist.
Wonderful walk if you start from the pilgrim path on the left of the 365 steps. Takes you all around and up from the back. You can then go down on steps and towards monkey temple 🐒"
554,Syambhunath, 21 reviews,"Rich with gumbas and monasteries. ..
We can reach there by 2 ways ... one way lead us to 3 beautiful statue of Lord Buddha...other way we have to climb almost 365 steps .. …"
555,Syambhunath, 64 reviews,Religious place for Buddhist listed on World Heritage sites
556,Syambhunath, 83 reviews,"Most famous chaitya on nepal also called as monkey temple located on kathmandu nepal
Visit nepal 2020"
557,Syambhunath, 536 reviews,One of the best places to see in Kathmandu. The spiritual site hosts many monkeys that live and move about here. At the entrance from the road you have a long way to climb up many stairs to the top of the hill where the Stupa is. Enjoy the …
558,Syambhunath, 18 reviews,"This was the first place I wanted to visit in my trip to Nepal after 5 years. Standing at an altitude of 1336 meters, it takes 365 steep steps to get to feet of Swayambhu. This stupa is more than 2000 years old and of great significance to …"
559,Syambhunath, 152 reviews,Ancient site of Buddhism. Great historical value. Good panoramic view of Kathmandu
560,Syambhunath, 45 reviews,Very cool place. Was fascinating to observe all that was happening. I think it might be worth it to go with a guide. I went alone and wished I had someone there with me to explain what was going on.
561,Syambhunath, 184 reviews,"Great place to visit. A UNESCO listed world heritage site. It Offers great birds eye view of KTM valley.
Climbing stairs will also make you helathy😂.
Deserves full 5 stars"
562,Syambhunath,7 reviews,"Amazing views, rich in history, and architecture that have stood the test of time, best time to visit is just before sunset make sure to stay for atleast another hour to see Kathmandu light up."
563,Syambhunath, 27 reviews,"Swayambhunath is an ancient popular destination historical important place which is on the top of hill for both religious people of Buddhist and Hindu. On the way to Stupa we visited Boudha garden, Pond and saw many beautiful sceneries. …"
564,Syambhunath, 73 reviews,Holy temple for Hinduism and Buddhism
565,Syambhunath, 55 reviews,"One of the best place for visit, to feel peace,  to worship,  and to see the KTM in one glance,  within the territory of ringroad."
566,Syambhunath, 132 reviews,A sacred place for both Buddhist and Hindus. The place is full of monkies. Don't take any eatable as monkies will snach it.
567,Syambhunath,29 reviews,"Historical site. Always a huge feel good factor, visiting Swayambhunath. Amazed, to see a large number of Nepali tourists. Unnecessary constructions should be avoided to maintain the historical and cultural beauty and ambiance of the place."
568,Syambhunath, 99 reviews,"Sublime ☺️, Phenomenal, Spiritual 🙏💞"
569,Syambhunath, 13 reviews,"There place is peace and quiet, very clean environment. People if all religion should visit the place. Getting to the place through the front stairs is a challenge and a great accomplishment. You can also see the rich Nepal heritage here. Also, a good place to escape from the busy City of Kathmandu."
570,Syambhunath, 93 reviews,I feel refreshed and happy every time I go there.
571,Syambhunath, 146 reviews,oldest religious site of Nepal 💚
572,Syambhunath, 24 reviews,Also called the Monkey Temple. There is a wishing fountain here. Great view.
573,Syambhunath, 391 reviews,Oct 2017. A place badly damaged by the 2015 earthquake. This place is becoming too touristy rather than a spiritual place.
574,Syambhunath, 63 reviews,"The Swayambhunath Stupa is one of the crowning glories of Kathmandu Valley architecture. This perfectly proportioned monument rises through a whitewashed dome to a gilded spire, from where four iconic faces of the Buddha stare out across …"
575,Syambhunath,3 reviews,Nice place to visit once in awhile. I love taking morning walks and evening walk here. It is very crowded during some festival. Beware of 🐒 . They tend to steal food and bags.
576,Syambhunath, 144 reviews,Swayambhu is an ancient religious place on the top of the hill in Kathmandu Valley. This temple is called monkey temple which is one of the tourist destination of Nepal. Especially pilgrims and tourists enjoy to visit this place.
577,Syambhunath, 121 reviews,Beautiful with lots of monkeys there🥺
578,Syambhunath, 34 reviews,"Very beautiful Glumba to visit we can get full view of Kathmandu valley from here.variety of shrines and temples, some dating back to the Licchavi period. A Tibetan monestory, museum and library are more recent additions. The stupa has …"
579,Syambhunath, 90 reviews,"Swayambhu (Devanagari: स्वयम्भू स्तूप; Newar: स्वयंभू; sometimes Swayambu or Swoyambhu) is an ancient religious complex atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means 'Sublime Trees' (Wylie: …"
580,Syambhunath, 335 reviews,/ A short detour towards a UNESCO World Heritage Site: Mokey Temple (Swyambhunath) / …
581,Syambhunath, 91 reviews,"Have you watched ""Dr Strange ""? , do you remember showing them Kathmandu (the aerial view ) while closing in? Yes, that monument you see in the screen is Swayambhu which is also called the monkey temple. …"
582,Syambhunath, 60 reviews,Nic and easy place to get a bird's eye view of Kathmandu city.
583,Syambhunath, 30 reviews,"Good atmosphere, love the view and worth to climb that 365 stairs for nice scenery shot and buy the survivors that top of the temple. Good bargains and cheapest compared to the Thamel street."
584,Syambhunath, 3 reviews,Peace ☮️
585,Syambhunath,4 reviews,Love this place it is my childhood place where almost every single day u have spended doing exercise and running and feel very good atmosphere here.always
586,Syambhunath,2 reviews,Wonderful for cultures remaining of Nepali in Tikuliya-3 Balan Bihul
587,Syambhunath, 25 reviews,This is a historical place called swoyambhu also known as monkey temple and is located at kathmandu. This temple is mostly popular for the budhist religion.
588,Syambhunath, 20 reviews,one the popular historical place in Kathmandu where we can experience beautiful view of Kathmandu City.
589,Syambhunath, 21 reviews,"Feeling blessed 🙏🙏
Add to your bucket list"
590,Syambhunath, 91 reviews,Should visit at evening time maybe after 7:30-8.. Its literally peaceful there..
591,Syambhunath, 278 reviews,This temple is a must go place for tourists coming to Kathmandu. You will find many monks walking around this area. There are many shops selling souvenirs and many good restaurants surrounding the temple. This temple is also called Monkey temple.
592,Syambhunath, 154 reviews,"Must do if you’re in town, great place to soak in the views, see the monkeys and understand about the local religions."
593,Syambhunath, 88 reviews,It is a wonderful place. It is a Buddha temple whose energy is very positive.
594,Syambhunath, 142 reviews,"Really a peaceful and beautiful place to be
Is in a top hill which allows cool fresh air to come from all directions. It is also famous for the great view to the valley. A famous place for most of the hindus and buddhist."
595,Syambhunath, 65 reviews,"Close to the city centre. there are two entry ways, first is through thousands stairs and the other one is through hilly road that can be accessed with vehicles."
596,Syambhunath, 168 reviews,Beautiful Temple From The top of The Temple U Can See The Full View Of Beautiful Kathmandu City beautiful temple
597,Syambhunath, 48 reviews,must see if you visit kathmandu. crowded on weekends and public holidays.
598,Syambhunath, 35 reviews,What a great place . amazing place one of the best place is Kathmandu . Now a days people know about monkey temple. This is one of secret places of hindu and buddist people . Full of acient different types of stupa .
599,Syambhunath, 65 reviews,"Great place , beautiful 🥰, lord 🙏🏻🙏🏻,. Religious place , crowd was more ... Peaceful place ....feel the soul .... beautiful place ❣️❣️❣️"
600,Syambhunath, 18 reviews,It was fantastic and enjoyable  place and many people comes there
601,Syambhunath, 5 reviews,Mesmerizing views of Kathmandu valley during Deepawali 2021.
602,Syambhunath,1 review,It is one of the oldest and best known stupa in Kathmandu valley. You get to see the whole view of Kathmandu city from there.
603,Syambhunath, 93 reviews,"Kathmandu City View Location, 2 Way of stupa, Amazing Architecture.
Photos Capture By Me & Follow My Instagram Page ""aman2191994"""
604,Syambhunath, 161 reviews,It's a Buddhist monument situated on a small hillock near Kathmandu.  The entry fee is ₹50 for indians.  The evenings are perf
605,Syambhunath, 32 reviews,"The holy place of Nepal.
There is great view of Kathmandu from the monkey temple."
606,Syambhunath, 439 reviews,"Swayambhunath Stupa also known as ""Monkey Temple"" is one of the ancient historical and religious place established about 2,000 years ago in Kathmandu. It is the famous and oldest Buddhist temple situated on the top of a hill, west of …"
607,Syambhunath, 194 reviews,Best place to Katmandu valley. Best for sunrise and sunset. You will feel Buddha here.
608,Syambhunath, 21 reviews,A wonderful religious place of lord buddha.
609,Syambhunath, 12 reviews,A must visit place in kathmandu!! A buddhist shrine that boasts of spiritual Nepal!! Monkey temple for tourists!!! a nice Hang out!!
610,Syambhunath, 46 reviews,"Swayambhu stupa is one of Nepal's top 10 heritage temples, we call this stupa the monkey temple.It's a very wonderful stupa."
611,Syambhunath, 177 reviews,"The best place around Kathmandu for a peaceful day out. You'll be able to see much of  the valley from thia place. Expect crowds during weekends, visit during weekdays for a more peaceful experience. Beware of the monkeys that live around."
612,Syambhunath, 200 reviews,Nice and spiritual ☺️... beautiful view of the valley
613,Syambhunath, 45 reviews,Worthy place for visit as it fills us with positivity.
614,Syambhunath, 20 reviews,"This place is situated at a height so beautiful view can be see from there at Kathmandu Valley. This place consists of lots of temples and monuments. Handmade sculpters, painting, etc can also be found here. Night visit brings a unquie experience there."
615,Syambhunath, 113 reviews,Swayambhunath Stupa is the most ancient and enigmatic of all the holy shrines in Kathmandu valley. Its lofty white dome and glittering golden spire are visible for many miles and from all sides of the valley. Historical records found on a …
616,Syambhunath, 35 reviews,peace and beautiful architecture of Nepal
617,Syambhunath, 16 reviews,"Religious place. Once visit it in your lifetime.. no much worry of parking,food and monkeys 😅"
618,Syambhunath, 5 reviews,"Peace,"
619,Syambhunath, 30 reviews,One of the most important religious place at Kathmandu special for Buddhism as well as Hinduism  for peace
620,Syambhunath, 53 reviews,Ancient Monument of Buddhist Stupa. One can get Magnificent view of Kathmandu Valley from here.
621,Syambhunath, 32 reviews,Both famous for Buddhist and World heritage site .
622,Syambhunath, 23 reviews,Good view of Kathmandu and variety and combinations of old carvings
623,Syambhunath,4 reviews,Perfect place for hangout. I would recommend visiting in evening.
624,Syambhunath,5 reviews,"Totally beautiful temple...
Most awesome    and   awesome   ever seen"
625,Syambhunath, 13 reviews,Amazing scenery &  beautiful cultural  monuments
626,Syambhunath, 20 reviews,One of the most famous Nepal monument. It's a must to visit.
627,Syambhunath, 63 reviews,Come here at night and you get to see very beautiful night scene. It take some time to climb up the temple but the view make it all worth the effort. There is a lot of monkeys in the area as well so be careful of your belongings.
628,Syambhunath, 8 reviews,"One of the best place to visit in Kathmandu, (I think it's a much better place to visit than Buddha Stupa) For foreigners there is an entrance fee, while locals can enter the place for free. The place is fairly big and can take few hours to …"
629,Syambhunath,5 reviews,"A temple situated a top a hill, so well furnished and an easy going stairs allows you to take a view of kathmandu valley, also you'll find monkeys who dwell the temple.e"
630,Syambhunath, 81 reviews,"We are going Nepal must visit this place Good place and one more thing about Nepalese they are not going in behaviour I have very bad experience, I don't suggest any one to go Nepal"
631,Syambhunath, 149 reviews,You can walk to bottom of eastern stairs from Thamel area in about 30mins. Follow the main flow of traffic across the brigde to guide you. 200 rup entry at the top of 365 stairs. Can get a guide for 1hr for 500 at the most but you don't …
632,Syambhunath, 188 reviews,Enjoy the Buddha sculpture. Foreigners shall pay a nominal entrance fee.
633,Syambhunath, 25 reviews,Amazing place for worshiping and the best view can be seen from the Shambhu.
634,Syambhunath, 85 reviews,Place is magical you will feel the vibe once you reach there. to feel the magic be here early morning or at full moon night. Listed in the world heritage site by UNESCO it’s amongst the must visit destination around Kathmandu. The full moon …
635,Syambhunath, 39 reviews,a place to visit for peace of mind. Evening is beat time to visit to relive your body from day full of stress. …
636,Syambhunath, 11 reviews,"One of the most visited place around Kathmandu valley.
You haven't any regrets about that place such a beautiful and peace place once must to visit this place."
637,Syambhunath,7 reviews,Nice temple. You can see whole Kathmandu city from here.
638,Syambhunath, 27 reviews,"It is a historical place of nepal, It is a temple for Buddhist monk. The place is a beautiful, from where you can see the almost whole view of Kathmandu Valley"
639,Syambhunath, 185 reviews,"Swayambhunath (Devanagari: स्वयम्भू स्तूप; Nepal Bhasa: स्वयंभू; sometimes Swayambu or Swoyambhu) is an ancient religious architecture atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means 'Sublime …"
640,Syambhunath, 92 reviews,"स्वयंभू; sometimes Swayambu or Swoyambhu) is an ancient religious architecture atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means 'Sublime Trees for the many varieties of trees found on the …"
641,Syambhunath, 39 reviews,"Traditional Buddhist festival held every year at manjusri temple side by hill of soyambhu.
In this festival some artfull mandalas are created by food grains as wheat, popcorn, soyabean, blackbean, fruits, sweets etc at the evening of fullmoon day of november."
642,Syambhunath, 386 reviews,Not bad all but with the scary monkeys only!😂🙇‍♀️
643,Syambhunath, 71 reviews,A good place to visit around a valley for a short time..good environment and ambience as well as..you can get to see monkeys and the cultural sculpting and artistic value of the are found in nepal!! Canvas painting is still one more thing you can get incluidng souvenier stuff
644,Syambhunath, 113 reviews,"Enlisted as one of UNESCO'S world heritage sites.

Swayambunath is the considered one of the oldest stupas in Kathmandu Valley. …"
645,Syambhunath,7 reviews,Extremely peaceful with immense religious vibes coming from your heart.
646,Syambhunath, 53 reviews,Feeling of calmness and peace hits right in after entering the Swoyambhunath stupa. Swoyambhu means self-created. Also famously know as the place of rhesus macaque or monkey temple
647,Syambhunath, 17 reviews,"Swayambhunath Stupa is very famous Stupa also named as ""The Monkey Temple"" lies in the north west region of Kathmandu valley top small hill. The premises is decorated with prayer flags and the vibrant temples and stupas. The main temple is …"
648,Syambhunath, 306 reviews,"peaceful place to be and one more information to all reveiwer this palce is not monkey temple. I repeat this is not monkey temple. This is swambhunath, one of the greatest buddhist pilgrim. specially for mahayana buddhism. beside this you …"
649,Syambhunath, 67 reviews,"As seen within the photographs, the Buddha's eyes are looking down from the best of the stupas with a contemplating look. Swayambhunath is the foremost prevalent Buddhist sanctuary in Nepal and is additionally known as the Monkey Sanctuary, …"
650,Syambhunath, 74 reviews,"What to say, this place is one of the best school for ""peace within"" seekers.
Come and enjoy to see the kathmandu valley in a whole with the majestic Himalayas in north, if you got lucky. …"
651,Syambhunath, 6 reviews,"Buddhism Holy place,  peace surrounding. Art and crafts, so creative!  So many monkeys around 😂.  Beautiful stupa with mesmerizing view on every side of it."
652,Syambhunath, 103 reviews,A sacred and magical place overlooking Kathmandu. Whether you are religious or not come witness prayer and culture. The night views during Tihar are amazing because of all of the lights!
653,Syambhunath, 36 reviews,"Nice temple,Amazing view from the top of the temple,one thing I want to share with you is that keep your bags and food items safe because there are lots of monkeys there."
654,Syambhunath, 17 reviews,Swayambhu Stupa is the highest location at Swayambhu temple area which is known as the best place to get  better look of the Kathmandu valley. …
655,Syambhunath, 48 reviews,The Buddha’s statue was very good. Will visit once again in the future.
656,Syambhunath, 17 reviews,Its an amazing and entertaining place. We can observe the Kathmandu valley from the top of Soyambhunath.
657,Syambhunath, 68 reviews,"Very peaceful, a must visit place in Kathmandu Valley."
658,Syambhunath, 91 reviews,I have visited this place so many times. When i reached there the only thing came in my mind is peace.
659,Syambhunath, 58 reviews,"Mesmerising jaw dropping view of kathmandu valley,   regional place suitable for both domestic and foreign visitor"
660,Syambhunath, 24 reviews,Kathmandu city and his historical temple is very beautiful and amazing places.
661,Syambhunath, 7 reviews,"Swayambhu is an ancient religious complex atop a hill in the Kathmandu Valley, west of Kathmandu city. Surrounded by all religious sites for all religions. It is probably the most sacred among Buddhist pilgrimage sites. There are also …"
662,Syambhunath,504 reviews,"Number of temples are there . To go there  , needs use of stairs , which is to some extent difficult for senior citizens ."
663,Syambhunath, 484 reviews,I was in 2011 and it was excellent to view that place. i would highly recommend people to move there
664,Syambhunath, 18 reviews,Great spot to get a view of the city. Temple was very busy but fun to watch the ceremonies going on.
665,Syambhunath, 119 reviews,Very nice experience. Great views. Authentic feeling.
666,Syambhunath, 21 reviews,"A really beautiful stoopa/temple. Busy, full of life and lots of monkeys (which you need to give a bit of space to, of course) - well worth the visit!"
667,Syambhunath, 299 reviews,"located on top of a hill - Aren’t they all? The complex consists of a stupa, a variety of shrines and temples, some dating back to the Licchavi period. A Tibetan monastery, museum and library are more recent additions. The stupa has …"
668,Syambhunath, 18 reviews,No need to describe the World Heritage Site. Awesome place.
669,Syambhunath, 32 reviews,Great place for tourists and locals alike. Great views of the city.
670,Syambhunath, 151 reviews,"Such a wonderful place to be , you may get tired if you wanna take stairs from the other side of the stupa, monkeys all around"
671,Syambhunath, 56 reviews,"Find peace and prayers on the little hillock of Swaymbhunath in the northwest of the Kathmandu Valley. Also known as the ""Monkey Temple"" among visitors from abroad, Swayambhunath sits atop its hill, overlooking most parts of the valley. …"
672,Syambhunath,4 reviews,That's really awesome place to visit. You can see the whole Kathmandu valley from there. Amazing scenery.
673,Syambhunath, 25 reviews,A great place to get a view of kathmandu value by enjoying the religious harmony between hinduism and Buddhism.
674,Syambhunath,3 reviews,Very attractive & peaceful place 🥰
675,Syambhunath, 618 reviews,"special and colourfull place, nice view of katmandu. there are a lots of monkies. recommended"
676,Syambhunath, 124 reviews,"Famous place for Buddhists in Nepal. Even monks were coming here as tourists which is pretty cool to see.
Not much to do here other than chill out and feed pigeons."
677,Syambhunath,9 reviews,Pretty place with lots of monkeys. Defiantly climb all the way to the top. It is a good place to get a view of the city and watch the sunset
678,Syambhunath, 201 reviews,"Great place to pray and visit, don't miss this place when you are at Nepal!"
679,Syambhunath, 10 reviews,Its obviously temple bt also a place of tour like ♥ heaven on earth
680,Syambhunath, 181 reviews,"Beautiful heritage site.
Construction is on the way.
U may feel dusty. …"
681,Syambhunath, 47 reviews,"Must visit Swayambhunath stupa if  you're are at Kathmandu, Nepal."
682,Syambhunath,31 reviews,"Hard pilgrim climb to the top, worth it for the view. Almost all rebuilt since 2015 earthquake, lovely as ever."
683,Syambhunath, 9 reviews,Great place for sightseeing... strongly recommend for religious persons...
684,Syambhunath, 29 reviews,This place has a great view and Buddhist must love this place but there is a problem from monkey because people are afraid from them but this is a great place.
685,Syambhunath, 57 reviews,The place has been the best from my childhood. But nowadays even local are not allowed to enter.
686,Syambhunath,8 reviews,The temple is not so high. People say there are so many stairs but there are not that many. Yes there are a lot of monkeys but they are not that hostile.
687,Syambhunath, 35 reviews,"The monkey temple...
The view of Kathmandu valley is awesome...❤️"
688,Syambhunath, 8 reviews,Good place to hang out during evening in Kathmandu
689,Syambhunath, 39 reviews,Most amazing place known as monkey stupa ...listed in World heritage site.... crowdy yet social place to enjoy and good for sun rise and sun set
690,Syambhunath, 18 reviews,Exceptional night view!
691,Syambhunath, 68 reviews,"Just loved this peace place!❤

Find peace and prayers on the little hillock of Swaymbhunath in the northwest of …"
692,Syambhunath, 56 reviews,"Religious architecture appears in every culture, including the stupa of Buddhist architecture. Discover the origins, defining characteristics, regional variations, and symbolic importance of these burial structures. …"
693,Syambhunath, 28 reviews,"One of the most known temple in nepal and historical place as well and also known as ""Monkey Temple"" ...It's a peaceful environment place"
694,Syambhunath,5 reviews,One of the famous people for every single national and international tourist.
695,Syambhunath, 74 reviews,Not too good place but you can enjoy here at evening
696,Syambhunath, 36 reviews,"Very peaceful, historical site, many monkeys and nice view of kathmandu valley."
697,Syambhunath, 193 reviews,Amazing
698,Syambhunath, 44 reviews,Best place for sight seeing in Kathmandu. Must go I say.
699,Syambhunath, 244 reviews,Peaceful place to be. Beautiful kathmandu view can be seen at night time. This place is is full of Monkey if u love animal.
700,Syambhunath,14 reviews,Swayambhu Stupa is located at Swayambhu in Kathmandu valley and it is one of the major attraction for tourists. This place is also known for best place at perfect hight for better view of the Kathmandu valley. …
701,Syambhunath, 129 reviews,"My host family is in Kirtipur so I took buses to Ratna Park and then Bus directly to swoyambhu. Sometime I walk to thamel and walk to Swoyambhu.
It feel easy to walk even the road is not good and it far in Nepal because everyone do so"
702,Syambhunath, 38 reviews,"Great Place to visit, peaceful and fabulous view from top."
703,Syambhunath, 33 reviews,"Great view over Kathmandu, beware of the monkeys though who seem to take your stuff at any unattended time as we almost lost our backpack to monkeys and had to fight them off"
704,Syambhunath, 12 reviews,Spiritual Place🙏🙏 But Not So Clean... During Morning walk Some people Bring Pet animals also..
705,Syambhunath, 115 reviews,"Best place to escape the city, the view from the top is must watch."
706,Syambhunath, 54 reviews,heritage
707,Syambhunath, 67 reviews,Big temple..idea time to visit is in the morning..peaceful and very energized place..
708,Syambhunath, 15 reviews,To reach here you have to walk 👣 more than 10 minutes and transportation is also available it is situated in Kathmandu
709,Syambhunath, 296 reviews,"Awesome place, you can see best view of Kathmandu from here."
710,Syambhunath, 102 reviews,Such a beautiful place it. The only place to see the whole valley in Kathmandu. Cool wind welcomes you as reach the top of the stupa climbing the 300 + stairs. Here is a capture of the valley from the Swayambhu stupa.
711,Syambhunath, 22 reviews,Awesome place .you can relax hear . The pray makes the heart relax . Nice place to get rid of tensions. And the view from the top is awesome.perfect place for hangout also
712,Syambhunath, 45 reviews,One of the best places to visit inside Kathmandu Valley.
713,Syambhunath, 70 reviews,Historic monuments with UNESCO World Heritage Site.
714,Syambhunath, 58 reviews,Kathmandu valley view top hill you can visit there so cool.
715,Syambhunath, 149 reviews,This place is magical.
716,Syambhunath, 10 reviews,"So authenti to hang out with the friend
So much cool place and the place where you feel relief and loss your stress..."
717,Syambhunath, 347 reviews,"Now a tourist trap, although it is quite a bit older than tourism.... Kinda neat. If you have a few days to kill in Kathmandu"
718,Syambhunath, 102 reviews,Gorgeous view of the city. You can see the ancient religious heritage and the current day monkeys.
719,Syambhunath, 29 reviews,Beautiful & peace place.
720,Syambhunath, 188 reviews,Very famous temple & tourist place in nepal
721,Syambhunath,10 reviews,My best place for morning  walk
